Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,WeekStatus,Day_of_week,Load_Type,Leading_Current_Power_Factor,Lagging_Current_Power_Factor
2.88,3.82,0.00,Weekend,Sunday,Light_Load,100.00,60.20
60.77,48.02,0.00,Weekday,Thursday,Maximum_Load,100.00,78.46
120.42,59.65,0.00,Weekday,Friday,Maximum_Load,100.00,89.61
3.13,0.00,16.60,Weekend,Saturday,Light_Load,18.53,100.00
58.86,20.99,0.00,Weekday,Friday,Medium_Load,100.00,94.19
3.10,3.49,0.00,Weekday,Monday,Light_Load,100.00,66.41
9.40,0.00,20.52,Weekday,Tuesday,Medium_Load,41.65,100.00
3.60,3.35,0.00,Weekday,Wednesday,Light_Load,100.00,73.21
4.61,2.20,0.07,Weekday,Friday,Light_Load,99.99,90.25
3.78,3.13,0.11,Weekend,Saturday,Light_Load,99.96,77.02
2.84,5.26,0.00,Weekend,Sunday,Light_Load,100.00,47.51
3.02,5.26,0.00,Weekday,Wednesday,Light_Load,100.00,49.79
2.84,5.36,0.00,Weekday,Thursday,Light_Load,100.00,46.82
64.84,51.37,0.00,Weekday,Thursday,Maximum_Load,100.00,78.38
2.81,5.18,0.00,Weekend,Sunday,Light_Load,100.00,47.68
87.05,36.65,0.00,Weekday,Friday,Medium_Load,100.00,92.16
3.64,3.20,0.00,Weekend,Saturday,Light_Load,100.00,75.10
111.20,52.49,0.00,Weekday,Monday,Maximum_Load,100.00,90.43
72.86,56.99,0.00,Weekday,Tuesday,Maximum_Load,100.00,78.77
37.80,2.20,0.40,Weekday,Friday,Medium_Load,99.99,99.83
53.93,32.47,0.00,Weekday,Friday,Light_Load,100.00,85.67
58.93,30.38,0.00,Weekday,Friday,Maximum_Load,100.00,88.88
2.59,5.36,0.00,Weekday,Wednesday,Light_Load,100.00,43.51
3.71,0.00,20.16,Weekend,Saturday,Medium_Load,18.10,100.00
3.42,0.00,19.48,Weekday,Wednesday,Maximum_Load,17.29,100.00
2.88,4.14,0.00,Weekday,Thursday,Light_Load,100.00,57.11
64.94,29.56,0.00,Weekday,Friday,Maximum_Load,100.00,91.01
97.13,43.92,0.00,Weekday,Thursday,Medium_Load,100.00,91.12
69.55,29.77,0.00,Weekday,Monday,Medium_Load,100.00,91.93
2.59,3.38,0.00,Weekend,Sunday,Light_Load,100.00,60.82
4.68,0.00,6.34,Weekend,Sunday,Light_Load,59.39,100.00
37.30,2.88,1.22,Weekday,Wednesday,Medium_Load,99.95,99.70
3.49,6.26,0.00,Weekday,Friday,Light_Load,100.00,48.69
3.53,4.93,0.00,Weekday,Friday,Light_Load,100.00,58.22
3.10,3.71,0.00,Weekday,Thursday,Light_Load,100.00,64.12
3.53,5.26,0.00,Weekday,Tuesday,Light_Load,100.00,55.72
56.34,31.25,0.00,Weekday,Monday,Light_Load,100.00,87.45
3.31,2.77,0.00,Weekday,Thursday,Light_Load,100.00,76.69
3.38,5.76,0.00,Weekday,Thursday,Light_Load,100.00,50.61
2.66,4.79,0.00,Weekday,Wednesday,Light_Load,100.00,48.55
2.99,4.82,0.00,Weekday,Thursday,Light_Load,100.00,52.71
8.39,0.00,22.79,Weekday,Thursday,Medium_Load,34.55,100.00
3.60,3.31,0.00,Weekday,Tuesday,Light_Load,100.00,73.61
4.72,0.00,22.10,Weekend,Sunday,Medium_Load,20.89,100.00
76.18,47.41,0.00,Weekday,Monday,Maximum_Load,100.00,84.90
3.60,0.00,17.39,Weekday,Monday,Light_Load,20.27,100.00
4.90,0.00,24.01,Weekday,Monday,Medium_Load,20.00,100.00
47.20,24.48,0.00,Weekday,Friday,Medium_Load,100.00,88.77
59.04,26.28,0.00,Weekday,Friday,Maximum_Load,100.00,91.36
2.84,4.36,0.00,Weekday,Tuesday,Light_Load,100.00,54.58
64.26,38.77,0.00,Weekday,Wednesday,Maximum_Load,100.00,85.62
5.69,0.00,20.20,Weekday,Tuesday,Medium_Load,27.11,100.00
2.74,6.01,0.00,Weekday,Thursday,Light_Load,100.00,41.48
57.89,29.48,0.00,Weekday,Thursday,Maximum_Load,100.00,89.11
3.02,0.00,16.85,Weekend,Sunday,Light_Load,17.64,100.00
35.03,30.74,0.00,Weekday,Tuesday,Light_Load,100.00,75.16
5.54,0.00,19.98,Weekday,Thursday,Medium_Load,26.72,100.00
4.64,3.89,0.00,Weekend,Saturday,Light_Load,100.00,76.63
2.95,4.86,0.00,Weekday,Thursday,Light_Load,100.00,51.89
59.76,14.15,0.00,Weekday,Monday,Maximum_Load,100.00,97.31
5.22,0.00,20.70,Weekday,Thursday,Medium_Load,24.45,100.00
67.68,40.68,0.00,Weekday,Friday,Maximum_Load,100.00,85.71
118.22,54.04,0.00,Weekday,Thursday,Medium_Load,100.00,90.95
5.90,5.29,0.00,Weekday,Wednesday,Light_Load,100.00,74.45
3.17,5.33,0.00,Weekend,Saturday,Light_Load,100.00,51.12
3.17,4.79,0.00,Weekend,Sunday,Light_Load,100.00,55.19
50.08,31.97,0.00,Weekday,Wednesday,Light_Load,100.00,84.29
3.82,2.84,0.07,Weekend,Saturday,Light_Load,99.98,80.25
57.85,22.50,0.00,Weekday,Thursday,Medium_Load,100.00,93.20
27.65,17.17,0.11,Weekday,Wednesday,Light_Load,100.00,84.95
3.02,3.74,0.00,Weekday,Tuesday,Light_Load,100.00,62.82
3.28,2.41,0.07,Weekday,Tuesday,Light_Load,99.98,80.59
60.44,33.73,0.61,Weekday,Friday,Medium_Load,99.99,87.32
3.20,3.10,0.00,Weekday,Tuesday,Light_Load,100.00,71.82
37.87,14.72,0.65,Weekday,Monday,Medium_Load,99.99,93.21
40.07,8.10,0.00,Weekday,Thursday,Maximum_Load,100.00,98.02
3.13,4.90,0.00,Weekday,Tuesday,Medium_Load,100.00,53.83
3.82,3.31,0.00,Weekday,Monday,Light_Load,100.00,75.58
57.85,23.98,0.00,Weekday,Friday,Maximum_Load,100.00,92.38
47.41,29.12,0.00,Weekday,Thursday,Medium_Load,100.00,85.21
3.20,3.17,0.00,Weekday,Thursday,Light_Load,100.00,71.04
2.52,4.36,0.00,Weekday,Tuesday,Light_Load,100.00,50.04
47.23,13.21,0.00,Weekend,Saturday,Medium_Load,100.00,96.30
2.81,5.04,0.00,Weekday,Monday,Light_Load,100.00,48.70
3.82,4.86,0.00,Weekday,Wednesday,Light_Load,100.00,61.80
3.53,0.00,14.15,Weekend,Saturday,Light_Load,24.21,100.00
43.49,23.87,0.00,Weekend,Saturday,Medium_Load,100.00,87.66
3.17,6.12,0.00,Weekend,Sunday,Light_Load,100.00,45.99
2.74,4.90,0.00,Weekend,Sunday,Light_Load,100.00,48.81
5.33,5.04,0.00,Weekday,Monday,Light_Load,100.00,72.66
53.75,16.24,2.66,Weekday,Tuesday,Maximum_Load,99.88,95.73
65.16,17.64,0.00,Weekday,Wednesday,Maximum_Load,100.00,96.53
30.85,7.49,0.00,Weekend,Saturday,Maximum_Load,100.00,97.18
3.13,4.00,0.00,Weekday,Thursday,Light_Load,100.00,61.63
80.14,35.82,0.00,Weekday,Tuesday,Maximum_Load,100.00,91.30
2.63,4.07,0.00,Weekday,Tuesday,Light_Load,100.00,54.27
3.85,0.00,17.32,Weekday,Tuesday,Medium_Load,21.70,100.00
63.61,18.36,0.00,Weekday,Tuesday,Maximum_Load,100.00,96.08
48.38,28.01,0.00,Weekday,Thursday,Maximum_Load,100.00,86.54
2.88,0.00,13.54,Weekend,Saturday,Light_Load,20.80,100.00
129.13,46.58,0.00,Weekday,Monday,Medium_Load,100.00,94.07
41.69,21.17,0.00,Weekday,Wednesday,Medium_Load,100.00,89.16
75.82,43.56,0.00,Weekday,Tuesday,Medium_Load,100.00,86.71
3.53,4.54,0.00,Weekend,Saturday,Light_Load,100.00,61.38
49.00,27.72,0.00,Weekday,Wednesday,Maximum_Load,100.00,87.04
4.97,0.00,25.56,Weekday,Friday,Medium_Load,19.09,100.00
58.97,25.85,0.00,Weekday,Wednesday,Medium_Load,100.00,91.59
3.20,5.22,0.00,Weekday,Wednesday,Light_Load,100.00,52.26
117.07,46.44,0.00,Weekday,Monday,Medium_Load,100.00,92.95
3.49,4.86,0.00,Weekend,Saturday,Light_Load,100.00,58.33
21.10,2.52,2.92,Weekend,Sunday,Maximum_Load,99.06,99.29
2.74,4.68,0.00,Weekend,Sunday,Light_Load,100.00,50.52
3.46,2.56,0.04,Weekday,Thursday,Light_Load,99.99,80.39
5.00,0.00,26.46,Weekend,Sunday,Medium_Load,18.57,100.00
2.84,4.68,0.00,Weekday,Monday,Light_Load,100.00,51.88
4.39,0.00,17.17,Weekend,Saturday,Medium_Load,24.77,100.00
5.26,3.31,0.00,Weekday,Friday,Maximum_Load,100.00,84.64
58.10,52.96,0.00,Weekday,Monday,Light_Load,100.00,73.90
2.81,5.26,0.00,Weekday,Tuesday,Light_Load,100.00,47.12
67.43,44.50,0.00,Weekday,Thursday,Maximum_Load,100.00,83.46
60.30,22.10,0.00,Weekday,Friday,Medium_Load,100.00,93.89
5.00,4.82,0.00,Weekday,Thursday,Light_Load,100.00,71.99
99.58,38.99,0.00,Weekday,Thursday,Medium_Load,100.00,93.12
3.53,3.20,0.00,Weekday,Thursday,Light_Load,100.00,74.09
70.06,27.47,0.00,Weekday,Thursday,Medium_Load,100.00,93.10
3.96,3.64,0.00,Weekend,Sunday,Light_Load,100.00,73.62
4.14,5.47,0.00,Weekday,Thursday,Maximum_Load,100.00,60.35
3.38,0.00,14.62,Weekend,Sunday,Light_Load,22.52,100.00
3.06,3.67,0.00,Weekend,Sunday,Light_Load,100.00,64.04
101.27,47.59,0.00,Weekday,Monday,Maximum_Load,100.00,90.50
14.00,0.00,21.82,Weekend,Sunday,Maximum_Load,54.00,100.00
6.26,0.00,6.77,Weekend,Saturday,Light_Load,67.89,100.00
3.89,3.89,0.00,Weekday,Monday,Light_Load,100.00,70.71
4.43,0.00,21.13,Weekday,Monday,Medium_Load,20.52,100.00
4.28,3.67,0.04,Weekday,Tuesday,Light_Load,100.00,75.91
2.92,4.32,0.00,Weekday,Monday,Light_Load,100.00,56.00
51.73,17.53,0.00,Weekday,Thursday,Maximum_Load,100.00,94.71
54.11,27.22,0.00,Weekday,Monday,Maximum_Load,100.00,89.33
3.49,7.85,0.00,Weekday,Wednesday,Light_Load,100.00,40.62
94.00,36.50,0.00,Weekday,Tuesday,Maximum_Load,100.00,93.22
3.85,0.00,23.04,Weekday,Monday,Medium_Load,16.48,100.00
92.84,40.79,0.00,Weekday,Thursday,Maximum_Load,100.00,91.55
57.56,35.35,0.00,Weekday,Friday,Light_Load,100.00,85.21
3.17,4.32,0.00,Weekend,Saturday,Light_Load,100.00,59.16
5.76,10.22,0.00,Weekend,Sunday,Light_Load,100.00,49.10
67.18,19.94,0.00,Weekday,Wednesday,Medium_Load,100.00,95.87
3.56,2.74,0.14,Weekday,Monday,Light_Load,99.92,79.25
48.17,15.52,0.00,Weekday,Tuesday,Medium_Load,100.00,95.18
4.03,0.00,20.45,Weekday,Tuesday,Light_Load,19.33,100.00
3.06,5.40,0.00,Weekday,Tuesday,Medium_Load,100.00,49.30
3.38,6.41,0.00,Weekday,Friday,Light_Load,100.00,46.64
3.35,0.00,15.05,Weekend,Saturday,Light_Load,21.73,100.00
2.88,1.94,0.25,Weekday,Wednesday,Light_Load,99.63,82.94
60.59,14.98,0.00,Weekday,Wednesday,Medium_Load,100.00,97.08
3.13,5.47,0.00,Weekend,Saturday,Light_Load,100.00,49.67
88.92,65.88,0.00,Weekday,Monday,Light_Load,100.00,80.35
3.42,0.00,14.00,Weekday,Tuesday,Light_Load,23.73,100.00
47.99,7.42,0.25,Weekday,Thursday,Maximum_Load,100.00,98.83
68.80,26.39,0.00,Weekday,Wednesday,Medium_Load,100.00,93.37
139.57,58.90,0.00,Weekday,Thursday,Maximum_Load,100.00,92.13
73.62,13.25,1.69,Weekday,Wednesday,Maximum_Load,99.97,98.42
2.66,4.32,0.00,Weekday,Wednesday,Light_Load,100.00,52.43
2.66,5.18,0.00,Weekday,Monday,Light_Load,100.00,45.68
3.24,3.96,0.00,Weekday,Friday,Light_Load,100.00,63.32
15.01,0.04,13.50,Weekend,Sunday,Maximum_Load,74.35,100.00
2.63,4.54,0.00,Weekend,Sunday,Light_Load,100.00,50.13
3.13,0.00,16.42,Weekend,Saturday,Light_Load,18.72,100.00
2.66,0.00,9.94,Weekend,Sunday,Light_Load,25.85,100.00
2.63,5.36,0.00,Weekday,Wednesday,Light_Load,100.00,44.05
3.17,4.54,0.00,Weekend,Sunday,Light_Load,100.00,57.25
3.60,3.74,0.00,Weekday,Tuesday,Light_Load,100.00,69.35
3.71,0.00,26.10,Weekday,Wednesday,Medium_Load,14.07,100.00
40.68,7.38,0.36,Weekday,Friday,Medium_Load,100.00,98.39
3.38,0.00,13.14,Weekend,Saturday,Light_Load,24.91,100.00
61.67,22.43,1.73,Weekday,Monday,Medium_Load,99.96,93.98
