Temperature,Humidity,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
22.760,29.73,0.085,32985.14532,19396.7,17623.3
15.920,54.44,0.085,34737.64259,29803,14417.3
15.080,57.23,0.076,27894.68354,20808.5,16458.8
12.420,72.30,0.081,42476.93617,23634.1,25089.7
14.580,80.60,0.080,21341.14101,12006.1,11531.6
14.990,69.14,0.074,22043.54430,13200,14810.6
11.160,70.80,0.080,32509.83051,18302.7,15844.3
19.210,89.40,4.923,21390.68852,13222.3,10593
14.660,65.92,0.075,37286.69202,30716.2,15834.8
14.200,81.60,0.079,24966.29508,15169,14913
23.900,64.15,0.264,35012.38938,24290.6,12067.2
13.680,82.40,0.074,22031.39241,13367.8,14359.5
21.030,86.50,0.068,40993.90728,25383.4,24960
16.380,69.26,0.074,31081.36882,25539.1,10130.1
27.060,47.58,4.905,37475.16093,24276.2,25140.6
11.860,60.80,0.088,34004.74576,18893.6,16938.5
11.830,80.60,0.080,31434.89362,18815.9,19358.7
9.380,84.90,0.082,20806.08365,16193.9,8608.88
9.390,67.74,4.920,25724.74576,16599.4,12434.7
19.200,65.81,4.924,40676.02649,24754.7,25095.9
19.740,47.91,0.078,29593.84615,24605,10039.5
27.110,43.35,4.906,40256.07103,27416.3,25453.5
16.660,67.21,4.919,43334.80851,25452.4,25368.4
12.110,76.60,4.916,22710.50847,13437.1,14090.3
23.960,63.40,4.922,28532.09302,19507.6,17442.7
26.920,70.20,4.909,36511.89369,25906.3,25654.9
16.980,56.04,0.086,23753.84615,18628.5,10704.6
25.370,77.80,4.918,29393.22259,24421.5,20226.3
16.320,53.54,4.921,40137.72152,23463.8,24659.3
24.600,91.30,4.918,27061.13208,16540.2,12669.6
15.900,62.58,0.084,36605.32319,29736.7,16595.4
27.120,32.78,4.905,28723.28524,20269.5,20752.9
21.330,75.20,4.911,32156.27081,21945.9,22540.4
17.220,62.59,4.921,26361.13786,15427,12214.5
20.530,47.50,0.079,29421.53846,23920.7,9351.33
10.950,47.63,0.078,21937.64259,18815.6,7398.8
12.730,74.10,0.081,32795.23404,17517.1,16751.6
11.880,85.70,0.072,39572.42553,22972,23945.8
18.430,71.00,0.081,33358.97872,17989,22000.6
18.940,81.50,0.071,29146.22951,21287.9,14936.4
26.640,53.55,4.907,37782.01998,24569,22877.5
8.700,87.20,0.089,23321.87234,13591.5,15044.5
28.720,26.19,0.075,31248.78689,22662.5,17431.6
13.870,86.50,4.915,22989.58425,17626.6,10282.8
9.890,73.20,0.077,38666.44068,23409.1,23317.9
5.593,73.40,0.087,23550.37975,14341.6,15452.5
14.100,63.55,0.083,41058.30508,24583.6,25390.3
18.470,91.10,0.079,44655.75492,28508.7,19392.6
