DATE_TIME,SOURCE_KEY,DC_POWER,DAILY_YIELD,TOTAL_YIELD,AC_POWER
10-06-2020 19:00,uHbuxQJl8lW7ozc,0,6645,7240508.000,0
28-05-2020 00:15,rGa61gmuvPhdLxV,0,0,7206549.000,0
17-05-2020 15:15,sjndEbLyjtCKgGv,7333.88,6442,7036055.000,718.062
01-06-2020 04:15,ih0vzX44oOqAx2f,0,0,6308232.000,0
17-05-2020 09:00,z9Y9gH1T5YWrNuG,7665.5,961.375,7021701.375,750.438
11-06-2020 20:30,ih0vzX44oOqAx2f,0,5521,6386553.000,0
22-05-2020 01:30,ih0vzX44oOqAx2f,0,0,6233543.000,0
31-05-2020 13:45,1BY6WEcLGh8j5v7,3661.14,4605.86,6376733.857,358.714
10-06-2020 14:45,zVJPv84UY57bAof,962.875,5609.75,7316065.750,93.5125
21-05-2020 16:00,adLQvlD726eNBSB,4058.75,7573.12,6321188.125,398.688
14-06-2020 17:45,3PZuoBAID5Wc2HD,568,7480.12,7218199.125,54.9625
26-05-2020 12:15,bvBOhCH3iADSZry,11830.1,4028.14,6396364.143,1153.83
11-06-2020 07:00,pkci93gMrogZuBj,822.857,35.1429,7369329.143,79.8571
01-06-2020 19:45,ZoEaEvLYb1n2sOq,0,5796,7228440.000,0
01-06-2020 08:00,uHbuxQJl8lW7ozc,6027.71,482.143,7165835.143,590.614
22-05-2020 20:15,ZnxXDlPa8U1GXgE,0,7275,6579139.000,0
22-05-2020 06:45,sjndEbLyjtCKgGv,1182,55.1429,7065941.143,114.943
31-05-2020 07:45,3PZuoBAID5Wc2HD,2253.12,197.875,7109685.875,220.887
15-05-2020 22:45,WRmjgnKYAwPKWDb,0,0,7034815.000,0
19-05-2020 13:30,rGa61gmuvPhdLxV,7763.43,4325.29,7141227.286,759.929
31-05-2020 01:15,1IF53ai7Xc0U56Y,0,0,6305543.000,0
29-05-2020 19:00,WRmjgnKYAwPKWDb,0,8038,7140899.000,0
15-05-2020 01:15,McdE0feGgRqW7Ca,0,0,7158964.000,0
08-06-2020 18:15,zBIq5rxdHJRwDNY,453.625,8350.5,6523261.500,43.875
17-06-2020 04:30,ih0vzX44oOqAx2f,0,0,6420371.000,0
04-06-2020 18:00,WRmjgnKYAwPKWDb,780.857,8022,7182649.000,75.7714
27-05-2020 13:00,1BY6WEcLGh8j5v7,7683,4121.38,6347790.375,751.625
25-05-2020 20:30,pkci93gMrogZuBj,0,8812,7250519.000,0
04-06-2020 05:00,wCURE6d3bPkepu2,0,0,6930776.000,0
08-06-2020 20:00,McdE0feGgRqW7Ca,0,8580,7346782.000,0
02-06-2020 14:00,pkci93gMrogZuBj,6763.88,5415.62,7305715.625,662.487
30-05-2020 03:30,uHbuxQJl8lW7ozc,0,0,7151932.000,0
19-05-2020 19:30,ZoEaEvLYb1n2sOq,0,6805,7130332.000,0
16-06-2020 10:45,WRmjgnKYAwPKWDb,8655.29,2375.14,7263690.143,846.471
27-05-2020 23:30,ih0vzX44oOqAx2f,0,6564,6278855.000,0
23-05-2020 02:45,bvBOhCH3iADSZry,0,0,6368908.000,0
14-06-2020 03:00,iCRJl6heRkivqQ3,0,0,7399855.000,0
08-06-2020 05:15,zVJPv84UY57bAof,0,0,7293790.000,0
23-05-2020 07:45,bvBOhCH3iADSZry,3447.86,214.571,6369122.571,338.957
27-05-2020 04:45,1IF53ai7Xc0U56Y,0,0,6274638.000,0
15-06-2020 22:15,1IF53ai7Xc0U56Y,0,6846,6421214.000,0
12-06-2020 04:15,wCURE6d3bPkepu2,0,0,6988054.000,0
17-05-2020 12:30,3PZuoBAID5Wc2HD,7456.12,4564.5,7005253.500,729.225
31-05-2020 07:30,ZoEaEvLYb1n2sOq,1954.29,142.143,7216990.143,191.571
25-05-2020 02:00,zVJPv84UY57bAof,0,0,7188796.000,0
13-06-2020 23:30,3PZuoBAID5Wc2HD,0,8633,7210719.000,0
15-06-2020 14:30,wCURE6d3bPkepu2,10571.3,5366.57,7015064.571,1032.07
28-05-2020 08:30,zBIq5rxdHJRwDNY,6311.43,652,6434735.000,618.343
25-05-2020 10:15,z9Y9gH1T5YWrNuG,11050.1,2174.29,7082812.286,1079.86
11-06-2020 12:00,uHbuxQJl8lW7ozc,9306,2308,7242816.000,910.257
11-06-2020 15:00,wCURE6d3bPkepu2,7624.5,4481.75,6986884.750,746.325
17-06-2020 23:30,McdE0feGgRqW7Ca,0,5992,7408587.000,0
12-06-2020 17:15,VHMLBKoKgIrUVDU,1816.14,5757.43,7420768.429,178
02-06-2020 14:45,WRmjgnKYAwPKWDb,8506.14,5969.86,7165669.857,831.429
